Price,Beds,Bath,Sq.Ft
429900,2,2.5,1328
415000,3,2.5,1314
325000,2,2,943
645000,4,1.5,1258
275000,2,1,843
548000,3,2,1152
824900,5,3.5,2098
1299600,6,4,2093
475000,2,2.5,1389
298800,2,2,831
318000,1,1,562
575000,2,3,1081
1190000,4,3.5,2646
560000,3,2.5,1501
899900,4,2,1296
549999,4,2,887
385000,3,1.5,903
745000,5,3.5,2730
775000,4,3.5,2127
300000,2,2,1043
325000,2,2,933
1150777,4,4.5,2870
359900,2,2,786
359900,2,2.5,1127
2000000,3,2.5,1934
2075000,5,2.5,3305
439900,2,2,1060
1999900,4,4.5,2908
459900,2,2,733
299900,4,2.5,1512
349000,3,1.5,1005
675000,4,3,1145
364832,2,2,890
339900,1,1,775
1675000,5,4.5,3651
210000,2,1,853
510000,3,2.5,1158
1698000,2,2,2046
750000,5,2,1145
995000,6,2,1336
329900,2,2,971
949900,4,3.5,2246
769000,3,2.5,1711
285000,2,1,845
299900,2,2,800
539000,3,2.5,1197
599900,4,2,1003
629900,3,3.5,1873
350000,2,2,877
365000,2,2,1163
688000,4,3.5,1138
1899900,4,4.5,2330
357500,2,2,910
624900,3,2.5,1556
719000,4,3.5,1628
849988,5,4,2482
579000,2,2,1162
399999,2,1.5,1165
449000,3,2,859
165000,1,1,763
849900,4,3,1446
750000,4,3.5,1831
214900,1,1,509
255000,1,1,704
389000,4,2.5,1394
754000,4,2.5,1366
224900,2,1,802
389000,2,2,1407
224800,1,1,687
370000,2,2,941
329900,2,2,923
798000,4,2.5,1306
419900,3,1,839
334900,2,2,690
495000,2,2,1468
465000,3,3,1006
265000,2,1,842
809000,3,2.5,2220
449900,2,2,1028
285000,2,2,625
949900,2,2.5,2053
335000,2,1,780
614999,5,2.5,974
435000,2,2,1172
429900,2,1.5,920
500000,3,1.5,966
650000,3,2.5,1775
409000,2,2,1011
874900,4,3.5,1780
279900,2,1,766
289900,2,2,773
489000,3,2.5,1157
550000,3,2.5,1433
274900,2,1,691
185000,2,1,968
263000,2,1,430
224900,1,1,528
294900,1,1,620
475900,3,2,879
1050000,4,3,1656
469900,3,2.5,1315
689900,4,3.5,2160
1185000,4,4,2466
735000,5,5.5,2301
609900,3,2.5,1452
697000,4,4,2163
479900,3,1.5,1377
1029000,4,3.5,1777
200000,1,1,631
360000,3,2,1076
499900,3,2.5,1572
232000,2,2,818
1290000,8,4,2505
445000,2,2,1094
735000,4,3,1054
1595000,4,5.5,3010
359800,3,2,910
200000,1,1,618
469900,2,2.5,1321
900000,2,2,1053
759900,3,2.5,2051
650000,2,2,951
218888,1,1,635
235532,2,1,856
889000,4,2.5,2442
899900,5,3.5,2570
829900,4,3,2195
315000,1,1,780
290000,2,1,819
699900,4,3.5,1806
650000,5,2.5,1363
1680000,3,3.5,2463
253000,2,1.5,896
679900,5,2,961
534900,3,1.5,1244
420000,2,2.5,1330
345000,1,1,852
449900,3,2,928
639000,3,2.5,1827
354900,2,2,829
789900,6,3.5,2355
899800,4,4,2808
245000,2,2,831
355000,2,1,905
1250000,5,3.5,2340
1150000,4,3.5,1917
599900,5,2.5,1036
334900,2,2,863
329888,2,2,756
250000,1,1,447
725000,4,2.5,1978
868600,4,3.5,1807
1995000,5,4.5,3114
300000,1,1,900
549900,3,2.5,1450
1249800,4,3.5,2365
269900,2,2,977
414900,2,2,1039
999999,6,3.5,2456
319900,2,2,768
339900,2,2,868
349900,3,2,763
1020000,5,4,2336
639999,4,2.5,1363
699900,3,3.5,1127
599900,5,2.5,1207
190000,1,1,615
499900,3,2.5,1249
1099000,5,3,962
399900,3,2.5,1140
429900,3,2,1000
849800,3,2.5,2114
1025000,4,3.5,2017
309900,2,2,923
675000,2,2.5,1606
435000,3,2.5,1244
1388000,3,2.5,3269
1179990,4,3,1941
925000,5,3.5,2344
635500,2,2,1005
399900,3,2.5,1157
529900,4,2.5,1091
519900,1,1,948
259900,2,2,1022
824900,4,3.5,1757
415000,2,1.5,1205
739900,4,2,1048
425000,3,1.5,1018
624900,3,2.5,1474
244900,2,1,569
236888,2,2,877
